instruction,context,response,category
When was the Tesla Factory in Fremont purchased by Tesla?,,In May 2010,open_qa
Who wrote Democracy in America?,,Alexis de Tocqueville wrote Democracy in America,open_qa
Who are the pianists that are considered masters in playing Bach's music?,,Glenn Gould is one of the most famous pianists playing Bach's music with his distinct style of articulating the contrapuntal texture of Bach's music. Zhu Xiao-mei's recording of Bach's The Goldberg Variations is acclaimed as one of the best recording of this piece. American pianist Murray Perahia has also built up a repertoire of Bach's piano music that's loved by many people.,open_qa
What are the northern lights?,,The northern lights are a common term referring to the aurora borealis. The aurora borealis is a natural phenomenon seen in the northern hemisphere near the arctic circle. Auroras are caused by disturbances in the magnetosphere caused by solar winds which result in emissions of light of varying colours and complexities.,open_qa
What is social media?,,"Social media accounts for a variety of services that are intended to connect individuals and organizations, to create a network for sharing information. The information shared can be videos, images, music, thoughts, opinions, or a variety of other things that can be shared publicly or privately. The intent is to allow anyone to be a contributor, give users the ability to connect with and follow whom they please, and provide a broad network of information and connections.",open_qa
How do I make a traditional Bolognese sauce?,,"Bolognese sauce, sometimes called Bolognese Ragu has many variations, so I will provide the most common method. Dice one brown onion and then saut√© in 25g of butter and 4 tablespoons of olive oil. Once the onions start to colour add 35 grams of diced pancetta and let the fat render. Add a mix of 1 chopped carrot, 1 chopped celery stick and 1 diced clove of garlic, stirring for 3-4 minutes. Add 500g of ground beef, seasoning the beef with salt and pepper. Next evaporate 1 cup of red wine, making sure the mixture reduces. Then evaporate 3/4 of a cup of fresh milk, also reducing the mixture. Add 4 chopped and peeled fresh tomatoes, 1 bay leaf and 1/4 tsp of chopped fresh thyme leaves and then simmer the sauce on low to medium heat for 1 and a half to two hours. Season again before serving with pasta.",open_qa
Which is the best soccer team of all time?,,"It is hard to say since there could be multiple rankings to answer this question. 

Assuming the best soccer players end up playing in Europe, we could take into consideration the European Champions League winners. Using this ranking, Real Madrid, having won 14 trophies, could be considered the best soccer team in the world.

Alternatively, Fifa awarded Real Madrid the ?úsoccer club of the 20th century??after winning a popular poll with 42.35% of the votes.

Everything around soccer teams is very subjective and feelings could play a big part for everyone's answer.",open_qa
How do sailplanes (gliders) stay aloft?,,"Gliders are usually towed to altitude by a motorized airplane and then use rising air from natural weather phenomenas such as thermals, mountain lee waves or ridge lift to stay aloft.",open_qa
What year was the Northwest School in Seattle founded?,,1980,open_qa
What s epigenomics?,,"Epigenomics is the study of the complete set of epigenetic modifications on the genetic material of a cell, known as the epigenome. The field is analogous to genomics and proteomics, which are the study of the genome and proteome of a cell. Epigenetic modifications are reversible modifications on a cell's DNA or histones that affect gene expression without altering the DNA sequence. Epigenomic maintenance is a continuous process and plays an important role in stability of eukaryotic genomes by taking part in crucial biological mechanisms like DNA repair. Plant flavones are said to be inhibiting epigenomic marks that cause cancers. Two of the most characterized epigenetic modifications are DNA methylation and histone modification. Epigenetic modifications play an important role in gene expression and regulation, and are involved in numerous cellular processes such as in differentiation/development and tumorigenesis. The study of epigenetics on a global level has been made possible only recently through the adaptation of genomic high-throughput assays.",open_qa
